Week_of_Year,Date,Board_Number,Site_Type,Board_Type,Species,Count,Daily_Precipitation,Weekly_Precipitation,Maximum_Temperature
37,9/11/18,1,Mature Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,2,Mature Forest,Natural,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,3,Mature Forest,Natural,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,4,Mature Forest,Natural,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,5,Mature Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,5,Mature Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,6,Mature Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,7,Mature Forest,Natural,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,8,Mature Forest,Natural,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,9,Mature Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,10,Mature Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,11,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,11,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,12,Transitional Forest,Natural,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,13,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,14,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,15,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,16,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,16,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,16,Transitional Forest,Natural,SS,1,0.4318,11.3284,18.33333333
37,9/11/18,17,Transitional Forest,Natural,FT,1,0.4318,11.3284,18.33333333
37,9/11/18,18,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,19,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,19,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,19,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,20,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,20,Transitional Forest,Natural,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,21,Mature Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,22,Mature Forest,Artificial,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,23,Mature Forest,Artificial,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,24,Mature Forest,Artificial,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,25,Mature Forest,Artificial,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,26,Mature Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,27,Mature Forest,Artificial,NA,0,0.4318,11.3284,18.33333333
37,9/11/18,28,Mature Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,29,Mature Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,29,Mature Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,30,Mature Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,31,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,32,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,33,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,33,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,33,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,34,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,34,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,35,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,35,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,36,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,36,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,37,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,38,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,39,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,39,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,39,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
