Week_of_Year,Date,Board_Number,Abundance,Richness,Site_Type,Board_Type,Daily_Precipitation,Maximum_Temperature,Weekly_Precipitation
37,9/11/18,1,1,1,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,2,0,0,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,3,0,0,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,4,0,0,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,5,2,1,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,6,1,1,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,7,0,0,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,8,0,0,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,9,1,1,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,10,1,1,Mature Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,11,2,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,12,0,0,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,13,1,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,14,1,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,15,1,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,16,3,2,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,17,1,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,18,1,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,19,3,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,20,2,1,Transitional Forest,Natural,0.4318,18.33333333,11.3284
37,9/11/18,21,1,1,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,22,0,0,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,23,0,0,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,24,0,0,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,25,0,0,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,26,1,1,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,27,0,0,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,28,1,1,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,29,2,1,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,30,1,1,Mature Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,31,1,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,32,1,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,33,3,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,34,2,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,35,2,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,36,2,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,37,1,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,38,1,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,39,4,1,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
37,9/11/18,40,0,0,Transitional Forest,Artificial,0.4318,18.33333333,11.3284
38,9/18/18,1,0,0,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,2,0,0,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,3,1,1,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,4,0,0,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,5,0,0,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,6,1,1,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,7,1,1,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,8,0,0,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,9,1,1,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,10,1,1,Mature Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,11,2,1,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,12,0,0,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,13,2,1,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,14,0,0,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,15,1,1,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,16,2,2,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,17,1,1,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,18,3,1,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,19,3,1,Transitional Forest,Natural,0.4826,20.55555556,0.4826
38,9/18/18,20,3,1,Transitional Forest,Natural,0.4826,20.55555556,0.4826
