"","Week_of_Year","Date","Board_Number","Abundance","Richness","Site_Type","Board_Type","Daily_Precipitation","Maximum_Temperature","Weekly_Precipitation","Year"
"1",37,2018-09-11,1,1,1,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"2",37,2018-09-11,2,0,0,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"3",37,2018-09-11,3,0,0,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"4",37,2018-09-11,4,0,0,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"5",37,2018-09-11,5,2,1,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"6",37,2018-09-11,6,1,1,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"7",37,2018-09-11,7,0,0,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"8",37,2018-09-11,8,0,0,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"9",37,2018-09-11,9,1,1,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"10",37,2018-09-11,10,1,1,"Mature Forest","Natural",0.4318,18.33333333,11.3284,2018
"11",37,2018-09-11,11,2,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"12",37,2018-09-11,12,0,0,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"13",37,2018-09-11,13,1,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"14",37,2018-09-11,14,1,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"15",37,2018-09-11,15,1,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"16",37,2018-09-11,16,3,2,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"17",37,2018-09-11,17,1,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"18",37,2018-09-11,18,1,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"19",37,2018-09-11,19,3,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"20",37,2018-09-11,20,2,1,"Transitional Forest","Natural",0.4318,18.33333333,11.3284,2018
"21",37,2018-09-11,21,1,1,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"22",37,2018-09-11,22,0,0,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"23",37,2018-09-11,23,0,0,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"24",37,2018-09-11,24,0,0,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"25",37,2018-09-11,25,0,0,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"26",37,2018-09-11,26,1,1,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"27",37,2018-09-11,27,0,0,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"28",37,2018-09-11,28,1,1,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
