"","Week_of_Year","Date","Board_Number","Site_Type","Board_Type","Species","Count","Daily_Precipitation","Weekly_Precipitation","Maximum_Temperature","Year"
"1",37,2018-09-11,1,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"2",37,2018-09-11,2,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.33333333,2018
"3",37,2018-09-11,3,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.33333333,2018
"4",37,2018-09-11,4,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.33333333,2018
"5",37,2018-09-11,5,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"6",37,2018-09-11,5,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"7",37,2018-09-11,6,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"8",37,2018-09-11,7,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.33333333,2018
"9",37,2018-09-11,8,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.33333333,2018
"10",37,2018-09-11,9,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"11",37,2018-09-11,10,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"12",37,2018-09-11,11,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"13",37,2018-09-11,11,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"14",37,2018-09-11,12,"Transitional Forest","Natural",NA,0,0.4318,11.3284,18.33333333,2018
"15",37,2018-09-11,13,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"16",37,2018-09-11,14,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"17",37,2018-09-11,15,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"18",37,2018-09-11,16,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"19",37,2018-09-11,16,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"20",37,2018-09-11,16,"Transitional Forest","Natural","SS",1,0.4318,11.3284,18.33333333,2018
"21",37,2018-09-11,17,"Transitional Forest","Natural","FT",1,0.4318,11.3284,18.33333333,2018
"22",37,2018-09-11,18,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"23",37,2018-09-11,19,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"24",37,2018-09-11,19,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"25",37,2018-09-11,19,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"26",37,2018-09-11,20,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"27",37,2018-09-11,20,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.33333333,2018
"28",37,2018-09-11,21,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"29",37,2018-09-11,22,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.33333333,2018
"30",37,2018-09-11,23,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.33333333,2018
"31",37,2018-09-11,24,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.33333333,2018
"32",37,2018-09-11,25,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.33333333,2018
"33",37,2018-09-11,26,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"34",37,2018-09-11,27,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.33333333,2018
