"Week of Year","Date","Board Number","Site Type","Board Type","Species","Count","Daily Precipitation","Weekly Precipitation","Maximum Temperature"
37,2018-09-11,1,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,2,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,3,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,4,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,5,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,5,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,6,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,7,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,8,"Mature Forest","Natural",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,9,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,10,"Mature Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,11,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,11,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,12,"Transitional Forest","Natural",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,13,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,14,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,15,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,16,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,16,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,16,"Transitional Forest","Natural","SS",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,17,"Transitional Forest","Natural","FT",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,18,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,19,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,19,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,19,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,20,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,20,"Transitional Forest","Natural","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,21,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,22,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,23,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,24,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,25,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,26,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,27,"Mature Forest","Artificial",NA,0,0.4318,11.3284,18.3333333333333
37,2018-09-11,28,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,29,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,29,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,30,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,31,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,32,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,33,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,33,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
