"Week of Year","Date","Board Number","Abundance","Richness","Site Type","Board Type","Daily Precipitation","Maximum Temperature","Weekly Precipitation"
37,2018-09-11,1,1,1,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,2,0,0,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,3,0,0,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,4,0,0,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,5,2,1,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,6,1,1,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,7,0,0,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,8,0,0,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,9,1,1,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,10,1,1,"Mature Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,11,2,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,12,0,0,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,13,1,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,14,1,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,15,1,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,16,3,2,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,17,1,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,18,1,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,19,3,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,20,2,1,"Transitional Forest","Natural",0.4318,18.3333333333333,11.3284
37,2018-09-11,21,1,1,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,22,0,0,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,23,0,0,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,24,0,0,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,25,0,0,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,26,1,1,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,27,0,0,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,28,1,1,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,29,2,1,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,30,1,1,"Mature Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,31,1,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,32,1,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,33,3,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,34,2,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,35,2,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
